"","country","Region","year","population","life","gdp"
"407","Eritrea","Sub-Saharan Africa","1820",212440,30.2,534
"408","Estonia","Europe & Central Asia","1820",342427,43.3880748433044,960
"409","Ethiopia","Sub-Saharan Africa","1820",3063453,29.7,524
"410","Fiji","East Asia & Pacific","1820",134860,26.1,787
"411","Finland","Europe & Central Asia","1820",1190807,37.2912226864173,1290
"412","France","Europe & Central Asia","1820",31549988,39.21,1876
"413","Gabon","Sub-Saharan Africa","1820",161794,30.6,391
"414","Gambia","Sub-Saharan Africa","1820",105337,28.8,823
"415","Georgia","Europe & Central Asia","1820",1098744,31.871,545
"416","Germany","Europe & Central Asia","1820",25507768,38.37,1887
"417","Ghana","Sub-Saharan Africa","1820",1990667,28,707
"418","Greece","Europe & Central Asia","1820",2347727,36.6,1420
"419","Greenland","Europe & Central Asia","1820",9757,33.8670623842944,394
"420","Grenada","America","1820",29699,31.4,961
"421","Guatemala","America","1820",594985,25.8032,860
"422","Guinea","Sub-Saharan Africa","1820",1007384,29.7068965517241,452
"423","Guinea-Bissau","Sub-Saharan Africa","1820",222059,32,779
"424","Guyana","America","1820",169103,31.12,1218
"425","Haiti","America","1820",739943,29,635
"426","Honduras","America","1820",146889,33.9,677
"427","Hong Kong, China","East Asia & Pacific","1820",20928,34.9,1010
"428","Hungary","Europe & Central Asia","1820",4137998,36,1253
"429","Iceland","Europe & Central Asia","1820",62498,36.563652679375,929
"430","India","South Asia","1820",176225709,25.4424,1050
"431","Indonesia","East Asia & Pacific","1820",17236636,30,997
"432","Iran","Middle East & North Africa","1820",6608508,25.6,980
"433","Iraq","Middle East & North Africa","1820",1112536,31.2,973
"434","Ireland","Europe & Central Asia","1820",5052432,38.3,1451
"435","Israel","Middle East & North Africa","1820",209954,32,882
"436","Italy","Europe & Central Asia","1820",20341608,29.69,2474
"437","Jamaica","America","1820",400825,34.2,1174
"438","Japan","East Asia & Pacific","1820",30993147,36.4079507692308,1079
"439","Jordan","Middle East & North Africa","1820",219348,31.7,979
"440","Kazakhstan","Europe & Central Asia","1820",2091782,26.2,1167
"441","Kenya","Sub-Saharan Africa","1820",2574000,25.5,909
"442","Kiribati","East Asia & Pacific","1820",18014,24.9,561
"443","Kuwait","Middle East & North Africa","1820",81280,26,1182
"444","Latvia","Europe & Central Asia","1820",605262,33,769
"445","Lebanon","Middle East & North Africa","1820",338427,29.7,1099
"446","Lesotho","Sub-Saharan Africa","1820",281945,32.8,398
"447","Liberia","Sub-Saharan Africa","1820",320479,31.1,799
"448","Libya","Middle East & North Africa","1820",544295,33.1,1053
"449","Lithuania","Europe & Central Asia","1820",797987,28.9,1300
"450","Luxembourg","Europe & Central Asia","1820",129245,36.9,1457
"451","Macao, China","East Asia & Pacific","1820",26077,34.7,995
"452","Macedonia, FYR","Europe & Central Asia","1820",401178,36.1,692
"453","Madagascar","Sub-Saharan Africa","1820",1694950,30.5,574
"454","Malawi","Sub-Saharan Africa","1820",737000,30.3,351
"455","Malaysia","East Asia & Pacific","1820",303530,30.6,1000
"456","Maldives","South Asia","1820",43038,32.647,845
